"Date","Price","Open","High","Low","Vol.","Change %"
"31-05-2023","15,766.40","15,773.80","15,789.20","15,706.50","3.45B","-0.21%"
"30-05-2023","15,799.45","15,784.25","15,823.90","15,759.35","1.64B","0.17%"
"29-05-2023","15,772.35","15,791.75","15,805.75","15,758.15","1.76B","0.48%"
"26-05-2023","15,696.75","15,589.50","15,704.00","15,567.85","1.56B","0.91%"
"25-05-2023","15,555.25","15,510.20","15,568.55","15,474.15","1.79B","0.25%"
"24-05-2023","15,515.95","15,517.20","15,591.40","15,493.30","1.76B","-0.19%"
"23-05-2023","15,544.75","15,551.05","15,595.65","15,528.75","1.49B","0.26%"
"22-05-2023","15,504.00","15,409.05","15,517.65","15,386.90","1.70B","0.63%"
"19-05-2023","15,407.55","15,399.50","15,418.80","15,278.70","1.40B","0.30%"
"18-05-2023","15,361.60","15,506.65","15,514.90","15,346.85","1.59B","-0.42%"
"17-05-2023","15,426.35","15,508.25","15,512.85","15,367.00","1.71B","-0.43%"
"16-05-2023","15,492.40","15,584.40","15,592.25","15,476.65","1.78B","-0.37%"
"15-05-2023","15,549.70","15,495.85","15,591.95","15,464.65","1.36B","0.47%"
"12-05-2023","15,477.35","15,475.05","15,506.15","15,401.65","1.35B","-0.04%"
"11-05-2023","15,484.05","15,512.35","15,526.75","15,461.85","1.60B","0.12%"
"10-05-2023","15,466.05","15,458.05","15,476.10","15,372.45","1.63B","0.29%"
"09-05-2023","15,420.60","15,462.75","15,502.70","15,393.95","1.81B","-0.04%"
"08-05-2023","15,427.10","15,321.90","15,440.85","15,310.75","1.76B","0.97%"
"05-05-2023","15,278.60","15,330.35","15,394.90","15,265.85","2.11B","-0.82%"
"04-05-2023","15,405.50","15,282.25","15,414.70","15,272.70","2.23B","0.85%"
"03-05-2023","15,276.40","15,277.75","15,305.05","15,239.50","2.17B","-0.16%"
"02-05-2023","15,300.75","15,276.20","15,327.75","15,261.15","2.19B","0.53%"
"28-04-2023","15,219.55","15,111.05","15,235.45","15,077.45","2.21B","0.96%"
"27-04-2023","15,075.05","14,999.90","15,085.85","14,989.20","1.98B","0.54%"
"26-04-2023","14,994.40","14,954.20","15,003.10","14,918.55","2.11B","0.26%"
"25-04-2023","14,955.70","14,945.80","14,981.30","14,916.35","2.00B","0.17%"
"24-04-2023","14,930.15","14,903.95","14,937.20","14,841.60","1.56B","0.56%"
"21-04-2023","14,847.10","14,879.60","14,888.65","14,789.95","1.45B","-0.10%"
"20-04-2023","14,861.75","14,878.55","14,905.80","14,835.90","1.11B","0.03%"
"19-04-2023","14,856.90","14,901.25","14,905.60","14,832.90","1.47B","-0.27%"
"18-04-2023","14,897.00","14,949.10","14,949.10","14,852.65","1.59B","-0.05%"
"17-04-2023","14,904.30","14,970.35","14,970.35","14,794.45","1.40B","-0.33%"
"13-04-2023","14,954.25","14,946.45","14,965.70","14,885.25","1.30B","0.08%"
"12-04-2023","14,941.55","14,902.20","14,949.90","14,871.90","1.20B","0.50%"
"11-04-2023","14,867.25","14,854.65","14,893.60","14,814.35","1.24B","0.52%"
"10-04-2023","14,790.55","14,797.35","14,833.45","14,767.00","1.21B","0.21%"
"06-04-2023","14,759.20","14,701.10","14,786.00","14,673.70","1.30B","0.34%"
"05-04-2023","14,709.40","14,620.70","14,718.90","14,611.25","1.35B","0.74%"
"03-04-2023","14,601.95","14,621.05","14,621.05","14,541.60","1.38B","0.30%"
"31-03-2023","14,557.85","14,442.30","14,577.15","14,438.80","1.74B","1.48%"
"29-03-2023","14,345.60","14,218.60","14,377.30","14,218.60","1.96B","0.94%"
"28-03-2023","14,211.80","14,289.95","14,300.20","14,177.50","1.46B","-0.36%"
"27-03-2023","14,262.70","14,306.60","14,348.95","14,238.90","1.48B","-0.11%"
"24-03-2023","14,279.00","14,409.00","14,434.10","14,257.50","1.40B","-0.87%"
"23-03-2023","14,403.60","14,422.95","14,490.65","14,388.30","1.16B","-0.39%"
"22-03-2023","14,460.00","14,470.05","14,497.15","14,432.20","","0.34%"
"21-03-2023","14,411.30","14,379.05","14,428.15","14,339.95","1.33B","0.66%"
"20-03-2023","14,317.10","14,389.85","14,393.60","14,196.50","1.62B","-0.72%"
"17-03-2023","14,420.85","14,436.25","14,464.90","14,327.75","2.34B","0.63%"
"16-03-2023","14,330.35","14,328.50","14,387.65","14,189.00","2.17B","0.07%"
"15-03-2023","14,320.30","14,458.15","14,494.35","14,298.15","1.39B","-0.27%"
"14-03-2023","14,358.55","14,462.00","14,499.20","14,306.80","1.54B","-0.66%"
"13-03-2023","14,454.45","14,681.55","14,752.85","14,420.50","1.82B","-1.54%"
"10-03-2023","14,679.85","14,695.05","14,699.35","14,593.40","1.25B","-0.84%"
"09-03-2023","14,803.95","14,947.05","14,952.85","14,788.90","1.34B","-0.79%"
"08-03-2023","14,921.95","14,843.10","14,932.40","14,791.25","1.38B","0.28%"
"06-03-2023","14,881.00","14,848.35","14,942.05","14,843.70","1.62B","0.72%"
"03-03-2023","14,774.75","14,686.25","14,813.05","14,676.05","1.83B","1.29%"
"02-03-2023","14,587.25","14,654.80","14,668.40","14,575.95","1.56B","-0.53%"
"01-03-2023","14,664.85","14,557.00","14,675.05","14,550.10","1.61B","1.01%"
"28-02-2023","14,518.75","14,550.00","14,584.45","14,476.00","2.04B","-0.21%"
"27-02-2023","14,548.70","14,600.90","14,609.40","14,465.70","1.36B","-0.56%"
"24-02-2023","14,630.45","14,723.40","14,741.95","14,598.95","1.44B","-0.25%"
"23-02-2023","14,666.75","14,715.20","14,740.80","14,599.10","1.74B","-0.24%"
"22-02-2023","14,701.90","14,854.15","14,861.05","14,674.25","1.45B","-1.42%"
"21-02-2023","14,913.95","14,982.00","14,992.70","14,894.15","1.36B","-0.17%"
"20-02-2023","14,938.65","15,023.45","15,036.45","14,920.70","1.49B","-0.44%"
"17-02-2023","15,003.95","15,036.25","15,077.00","14,966.30","1.18B","-0.53%"
"16-02-2023","15,083.75","15,098.45","15,135.35","15,060.00","1.26B","0.29%"
"15-02-2023","15,039.65","14,939.00","15,053.55","14,923.25","1.26B","0.47%"
"14-02-2023","14,968.90","14,936.20","14,988.00","14,879.35","1.32B","0.46%"
"13-02-2023","14,900.50","15,011.35","15,022.55","14,875.85","1.39B","-0.77%"
"10-02-2023","15,015.85","14,992.65","15,031.10","14,969.55","1.57B","-0.09%"
"09-02-2023","15,030.10","15,036.85","15,054.75","14,956.90","1.57B","0.01%"
"08-02-2023","15,028.30","14,927.55","15,046.70","14,924.05","1.73B","0.85%"
"07-02-2023","14,902.20","14,950.15","14,970.80","14,845.95","1.68B","-0.21%"
"06-02-2023","14,934.15","14,939.40","14,954.30","14,870.55","2.18B","-0.19%"
"03-02-2023","14,962.35","14,904.10","14,972.15","14,746.45","2.02B","0.83%"
"02-02-2023","14,839.40","14,760.35","14,887.45","14,698.40","2.06B","-0.06%"
"01-02-2023","14,847.65","15,054.80","15,154.10","14,622.65","2.64B","-0.59%"
"31-01-2023","14,935.50","14,906.45","14,962.95","14,787.85","2.14B","0.55%"
"30-01-2023","14,854.20","14,807.50","14,955.15","14,675.05","2.18B","-0.14%"
"27-01-2023","14,874.75","15,160.15","15,165.40","14,779.10","2.36B","-1.96%"
"25-01-2023","15,171.95","15,364.40","15,368.70","15,146.40","1.80B","-1.41%"
"24-01-2023","15,388.55","15,451.20","15,459.30","15,364.20","1.39B","-0.10%"
"23-01-2023","15,403.20","15,411.50","15,427.50","15,364.25","1.75B","0.36%"
"20-01-2023","15,347.90","15,428.20","15,443.45","15,336.70","1.46B","-0.47%"
"19-01-2023","15,419.70","15,427.15","15,455.15","15,387.25","1.40B","-0.30%"
"18-01-2023","15,466.35","15,416.60","15,479.65","15,376.50","1.46B","0.46%"
"17-01-2023","15,396.15","15,328.85","15,411.00","15,291.60","1.66B","0.59%"
"16-01-2023","15,305.45","15,398.15","15,421.25","15,276.50","1.86B","-0.26%"
"13-01-2023","15,346.10","15,295.90","15,370.05","15,215.00","1.65B","0.44%"
"12-01-2023","15,279.60","15,329.70","15,347.20","15,203.55","1.53B","-0.14%"
"11-01-2023","15,301.35","15,342.75","15,375.10","15,257.00","1.62B","-0.16%"
"10-01-2023","15,325.25","15,470.00","15,472.45","15,262.10","1.60B","-0.81%"
"09-01-2023","15,450.10","15,360.40","15,472.15","15,353.35","1.62B","1.17%"
"06-01-2023","15,272.00","15,401.35","15,419.40","15,219.85","1.73B","-0.74%"
"05-01-2023","15,386.20","15,446.50","15,462.15","15,286.40","1.76B","-0.04%"
"04-01-2023","15,393.00","15,563.15","15,574.50","15,375.80","2.14B","-1.06%"
"03-01-2023","15,557.80","15,515.75","15,575.70","15,500.75","2.08B","0.22%"
"02-01-2023","15,523.65","15,479.95","15,536.35","15,433.30","2.10B","0.48%"
"30-12-2022","15,448.85","15,557.75","15,581.95","15,425.65","2.14B","-0.23%"
"29-12-2022","15,485.20","15,370.00","15,517.45","15,307.00","2.12B","0.34%"
"28-12-2022","15,432.80","15,390.55","15,468.15","15,363.65","2.37B","0.09%"
"27-12-2022","15,418.35","15,375.20","15,433.65","15,278.60","2.55B","0.78%"
"26-12-2022","15,298.55","15,060.85","15,350.35","14,985.40","2.91B","1.68%"
"23-12-2022","15,046.00","15,300.75","15,349.35","15,018.75","2.82B","-2.50%"
"22-12-2022","15,431.50","15,599.55","15,636.10","15,369.60","2.76B","-0.62%"
"21-12-2022","15,527.55","15,772.95","15,812.05","15,497.60","3.06B","-1.26%"
"20-12-2022","15,726.20","15,704.05","15,740.25","15,580.80","2.33B","-0.18%"
"19-12-2022","15,755.20","15,658.85","15,764.00","15,606.15","2.54B","0.76%"
"16-12-2022","15,636.35","15,710.90","15,799.35","15,625.25","2.88B","-0.93%"
"15-12-2022","15,783.80","15,938.05","15,968.20","15,758.85","3.34B","-1.13%"
"14-12-2022","15,963.80","15,958.15","15,988.55","15,946.30","4.42B","0.37%"
"13-12-2022","15,904.50","15,863.25","15,913.80","15,830.65","3.50B","0.48%"
"12-12-2022","15,828.00","15,759.65","15,836.85","15,687.95","2.79B","0.10%"
"09-12-2022","15,812.75","15,964.85","15,967.30","15,727.35","3.68B","-0.62%"
"08-12-2022","15,911.10","15,881.80","15,918.75","15,860.30","1.97B","0.31%"
"07-12-2022","15,862.00","15,932.25","15,953.25","15,836.05","2.01B","-0.38%"
"06-12-2022","15,922.85","15,904.10","15,936.70","15,881.60","2.31B","-0.28%"
"05-12-2022","15,967.20","15,994.95","15,999.80","15,881.80","2.37B","0.02%"
"02-12-2022","15,963.50","15,977.50","15,991.05","15,909.60","2.23B","-0.25%"
"01-12-2022","16,003.95","16,041.15","16,041.65","15,972.75","2.09B","0.36%"
"30-11-2022","15,946.15","15,827.45","15,991.60","15,820.55","3.15B","0.85%"
"29-11-2022","15,812.45","15,784.55","15,859.35","15,782.40","2.09B","0.18%"
"28-11-2022","15,784.45","15,683.75","15,817.35","15,642.80","2.41B","0.36%"
"25-11-2022","15,727.25","15,719.80","15,743.10","15,668.35","2.58B","0.30%"
"24-11-2022","15,680.80","15,588.45","15,706.50","15,567.75","1.94B","0.92%"
"23-11-2022","15,538.15","15,572.75","15,572.90","15,520.25","1.97B","0.19%"
"22-11-2022","15,509.20","15,472.65","15,518.10","15,437.30","1.89B","0.36%"
"21-11-2022","15,453.80","15,514.60","15,523.15","15,431.20","1.90B","-0.62%"
"18-11-2022","15,550.85","15,634.30","15,644.80","15,472.35","1.74B","-0.30%"
"17-11-2022","15,597.25","15,630.55","15,661.10","15,573.95","1.75B","-0.42%"
"16-11-2022","15,663.30","15,696.55","15,711.30","15,607.25","1.90B","-0.19%"
"15-11-2022","15,693.90","15,678.50","15,708.90","15,609.50","1.49B","0.28%"
"14-11-2022","15,650.20","15,672.50","15,684.25","15,627.75","1.98B","0.01%"
"11-11-2022","15,649.10","15,633.50","15,662.05","15,612.45","2.30B","1.35%"
"10-11-2022","15,440.00","15,490.25","15,523.90","15,384.35","1.70B","-0.82%"
"09-11-2022","15,567.25","15,684.45","15,686.35","15,534.85","2.29B","-0.31%"
"07-11-2022","15,615.15","15,610.95","15,647.25","15,505.75","2.10B","0.54%"
"04-11-2022","15,530.85","15,495.75","15,542.15","15,454.30","1.80B","0.30%"
"03-11-2022","15,484.70","15,407.80","15,519.15","15,401.30","1.53B","-0.08%"
"02-11-2022","15,497.55","15,560.45","15,561.10","15,470.40","1.36B","-0.26%"
"01-11-2022","15,537.40","15,507.95","15,545.85","15,460.70","1.76B","0.74%"
"31-10-2022","15,424.00","15,333.15","15,433.05","15,327.40","1.44B","1.20%"
"28-10-2022","15,241.60","15,265.45","15,290.15","15,191.60","1.49B","-0.02%"
"27-10-2022","15,244.25","15,246.55","15,273.30","15,172.15","1.79B","0.57%"
"25-10-2022","15,158.10","15,251.75","15,253.75","15,143.45","1.72B","-0.27%"
"24-10-2022","15,198.75","15,225.45","15,248.05","15,179.15","396.65M","0.78%"
"21-10-2022","15,081.10","15,159.60","15,181.90","15,036.10","1.65B","-0.21%"
"20-10-2022","15,112.10","14,998.45","15,128.40","14,979.60","1.95B","0.29%"
"19-10-2022","15,068.60","15,120.40","15,153.05","15,039.80","1.90B","0.08%"
"18-10-2022","15,056.55","15,009.10","15,071.95","15,007.25","1.74B","1.01%"
"17-10-2022","14,906.15","14,783.20","14,920.70","14,718.80","1.40B","0.61%"
"14-10-2022","14,815.10","14,979.15","14,989.15","14,803.70","1.27B","0.58%"
"13-10-2022","14,730.30","14,811.20","14,832.35","14,683.55","1.32B","-0.67%"
"12-10-2022","14,829.95","14,761.45","14,844.85","14,676.55","1.42B","0.73%"
"11-10-2022","14,721.90","14,980.45","14,982.75","14,692.55","1.50B","-1.54%"
"10-10-2022","14,951.65","14,857.00","14,989.05","14,818.50","1.42B","-0.57%"
"07-10-2022","15,036.70","15,030.20","15,055.65","14,943.15","1.54B","-0.11%"
"06-10-2022","15,053.05","15,063.55","15,119.90","15,042.20","1.65B","0.58%"
"04-10-2022","14,965.80","14,869.55","14,975.60","14,852.55","1.54B","2.24%"
"03-10-2022","14,638.50","14,837.10","14,858.65","14,585.80","1.65B","-1.29%"
"30-09-2022","14,829.35","14,586.90","14,881.30","14,516.30","1.87B","1.55%"
"29-09-2022","14,602.50","14,748.20","14,783.75","14,569.10","1.81B","-0.12%"
"28-09-2022","14,620.60","14,617.40","14,768.25","14,577.05","1.56B","-0.72%"
"27-09-2022","14,727.30","14,805.85","14,874.45","14,652.30","1.68B","0.01%"
"26-09-2022","14,725.70","14,916.90","14,932.50","14,671.05","1.99B","-2.20%"
"23-09-2022","15,057.65","15,324.30","15,360.20","15,032.75","1.72B","-1.81%"
"22-09-2022","15,335.30","15,284.60","15,386.75","15,224.95","1.87B","-0.17%"
"21-09-2022","15,361.25","15,449.25","15,516.50","15,320.05","1.63B","-0.71%"
"20-09-2022","15,470.35","15,423.50","15,557.30","15,410.25","1.51B","1.16%"
"19-09-2022","15,293.55","15,264.25","15,348.80","15,135.15","1.59B","0.33%"
"16-09-2022","15,243.95","15,529.35","15,542.00","15,197.90","2.58B","-2.16%"
"15-09-2022","15,580.35","15,686.00","15,724.45","15,543.90","1.81B","-0.32%"
"14-09-2022","15,630.70","15,423.90","15,688.10","15,423.90","2.02B","-0.25%"
"13-09-2022","15,669.85","15,667.35","15,686.85","15,635.15","1.80B","0.59%"
"12-09-2022","15,577.40","15,524.70","15,600.15","15,522.40","1.40B","0.71%"
"09-09-2022","15,467.40","15,547.55","15,548.85","15,426.40","1.88B","0.17%"
"08-09-2022","15,440.70","15,430.20","15,448.75","15,365.70","1.96B","0.79%"
"07-09-2022","15,319.40","15,222.25","15,334.00","15,199.40","2.33B","0.04%"
"06-09-2022","15,313.05","15,339.30","15,386.75","15,248.00","2.34B","0.12%"
"05-09-2022","15,294.40","15,221.75","15,311.95","15,217.35","2.06B","0.61%"
"02-09-2022","15,201.60","15,272.45","15,305.00","15,184.30","1.72B","-0.06%"
"01-09-2022","15,211.20","15,142.70","15,309.85","15,141.45","1.89B","-0.74%"
"30-08-2022","15,325.05","15,071.45","15,338.80","15,065.35","1.85B","2.35%"
"29-08-2022","14,972.75","14,797.80","15,016.25","14,793.95","1.54B","-1.15%"
"26-08-2022","15,147.55","15,187.10","15,242.65","15,116.20","1.71B","0.31%"
"25-08-2022","15,100.65","15,208.85","15,252.80","15,075.10","2.16B","-0.26%"
"24-08-2022","15,140.40","15,062.45","15,152.45","15,037.15","1.75B","0.33%"
"23-08-2022","15,090.50","14,887.00","15,128.25","14,879.90","1.84B","0.59%"
"22-08-2022","15,001.75","15,183.10","15,186.15","14,980.40","1.65B","-1.54%"
"19-08-2022","15,236.65","15,426.20","15,445.50","15,205.55","1.93B","-1.09%"
"18-08-2022","15,404.60","15,355.60","15,415.25","15,325.20","1.75B","0.17%"
"17-08-2022","15,379.05","15,325.35","15,398.45","15,306.55","1.88B","0.64%"
"16-08-2022","15,280.50","15,222.90","15,287.45","15,203.50","","0.92%"
"12-08-2022","15,140.55","15,102.80","15,162.30","15,060.75","1.74B","0.30%"
"11-08-2022","15,095.15","15,123.65","15,130.05","15,069.90","1.50B","0.73%"
"10-08-2022","14,985.80","15,033.30","15,033.30","14,919.20","1.69B","-0.05%"
"08-08-2022","14,993.35","14,910.60","15,009.90","14,867.20","1.44B","0.62%"
"05-08-2022","14,900.40","14,933.20","14,972.10","14,874.25","2.15B","0.05%"
"04-08-2022","14,892.45","14,944.95","14,974.70","14,688.00","2.32B","0.10%"
"03-08-2022","14,878.05","14,880.65","14,906.70","14,750.75","2.40B","0.01%"
"02-08-2022","14,876.60","14,831.90","14,906.00","14,765.30","3.26B","0.20%"
"01-08-2022","14,846.85","14,741.40","14,858.30","14,666.20","2.12B","1.24%"
"29-07-2022","14,665.65","14,588.15","14,677.75","14,553.65","1.92B","1.36%"
"28-07-2022","14,469.10","14,365.05","14,481.45","14,330.30","1.74B","1.45%"
"27-07-2022","14,262.55","14,131.80","14,272.20","14,099.90","1.51B","0.86%"
"26-07-2022","14,141.45","14,284.70","14,286.50","14,122.55","1.49B","-0.97%"
"25-07-2022","14,279.50","14,307.90","14,335.10","14,228.15","1.39B","-0.40%"
"22-07-2022","14,336.60","14,325.05","14,359.75","14,265.25","1.25B","0.45%"
"21-07-2022","14,271.80","14,172.80","14,288.60","14,141.65","1.38B","0.76%"
"20-07-2022","14,164.40","14,220.20","14,230.90","14,140.00","1.36B","0.80%"
"19-07-2022","14,051.65","13,922.55","14,067.75","13,922.35","1.28B","0.48%"
"18-07-2022","13,984.40","13,883.80","13,993.40","13,877.60","1.17B","1.41%"
"15-07-2022","13,790.20","13,761.10","13,804.05","13,695.20","1.08B","0.64%"
"14-07-2022","13,702.65","13,771.20","13,797.60","13,617.15","1.08B","-0.18%"
"13-07-2022","13,726.95","13,842.80","13,861.30","13,714.20","1.10B","-0.38%"
"12-07-2022","13,779.00","13,823.60","13,866.65","13,757.30","1.23B","-0.78%"
"11-07-2022","13,886.85","13,771.40","13,905.95","13,755.75","1.25B","0.42%"
"08-07-2022","13,828.25","13,873.75","13,874.70","13,770.90","1.09B","0.46%"
"07-07-2022","13,765.60","13,736.95","13,777.75","13,687.55","1.22B","0.99%"
"06-07-2022","13,631.30","13,472.80","13,647.20","13,443.35","1.16B","1.26%"
"05-07-2022","13,461.85","13,533.75","13,628.45","13,439.40","1.14B","-0.08%"
"04-07-2022","13,472.65","13,378.40","13,483.70","13,337.20","1.09B","0.58%"
"01-07-2022","13,394.45","13,335.25","13,422.45","13,192.90","1.29B","0.05%"
"30-06-2022","13,387.55","13,410.80","13,492.15","13,352.40","1.30B","-0.23%"
"29-06-2022","13,417.85","13,337.65","13,462.05","13,328.20","1.41B","-0.34%"
"28-06-2022","13,464.25","13,389.85","13,487.50","13,330.75","1.24B","0.15%"
"27-06-2022","13,444.55","13,506.35","13,510.80","13,432.65","1.20B","0.92%"
"24-06-2022","13,322.50","13,269.20","13,337.70","13,247.95","1.19B","1.09%"
"23-06-2022","13,178.80","13,081.90","13,231.90","13,021.25","1.23B","1.00%"
"22-06-2022","13,047.75","13,176.10","13,184.90","13,028.35","1.28B","-1.47%"
"21-06-2022","13,241.90","13,042.80","13,275.50","13,019.35","1.45B","2.25%"
"20-06-2022","12,950.75","13,026.15","13,049.40","12,855.55","1.55B","-0.34%"
"17-06-2022","12,994.75","13,011.40","13,111.95","12,903.85","1.64B","-0.72%"
"16-06-2022","13,089.20","13,508.70","13,527.80","13,064.05","1.38B","-2.18%"
"15-06-2022","13,380.85","13,412.20","13,448.45","13,366.75","973.34M","-0.06%"
"14-06-2022","13,388.30","13,341.95","13,506.50","13,324.15","1.24B","-0.21%"
"13-06-2022","13,416.90","13,521.20","13,527.75","13,356.20","1.31B","-2.65%"
"10-06-2022","13,781.75","13,825.00","13,860.05","13,757.95","1.03B","-1.40%"
"09-06-2022","13,977.10","13,816.70","13,989.00","13,790.00","1.11B","0.65%"
"08-06-2022","13,886.90","13,981.65","14,020.45","13,832.45","1.23B","-0.35%"
"07-06-2022","13,935.60","13,978.65","13,990.20","13,883.75","1.12B","-0.84%"
"06-06-2022","14,054.10","14,042.40","14,081.20","13,932.15","1.12B","-0.17%"
"03-06-2022","14,077.90","14,280.35","14,300.00","14,064.90","1.21B","-0.64%"
"02-06-2022","14,167.95","14,059.25","14,179.30","14,029.80","1.28B","0.60%"
"01-06-2022","14,082.90","14,132.10","14,186.90","14,009.05","1.37B","-0.26%"
"31-05-2022","14,119.60","14,106.00","14,215.45","14,067.05","2.59B","-0.25%"
"30-05-2022","14,154.80","14,022.60","14,163.05","14,009.65","1.40B","2.03%"
"27-05-2022","13,873.15","13,839.30","13,885.05","13,768.30","1.25B","1.10%"
"26-05-2022","13,722.55","13,651.55","13,756.85","13,445.25","1.68B","0.99%"
"25-05-2022","13,587.75","13,805.10","13,821.40","13,574.50","1.37B","-1.16%"
"24-05-2022","13,747.25","13,858.05","13,883.55","13,709.40","1.57B","-0.64%"
"23-05-2022","13,835.80","13,929.75","14,005.50","13,813.60","1.57B","-0.43%"
"20-05-2022","13,895.05","13,755.05","13,906.40","13,733.55","1.40B","2.54%"
"19-05-2022","13,550.90","13,625.75","13,680.65","13,520.95","1.52B","-2.64%"
"18-05-2022","13,918.20","13,989.35","14,064.00","13,896.60","1.59B","-0.06%"
"17-05-2022","13,926.05","13,648.45","13,944.70","13,632.15","1.54B","2.61%"
"16-05-2022","13,571.20","13,540.25","13,646.30","13,434.45","1.50B","0.74%"
